Time,INa,IKr,IKs,Ito1,IK1,IKp,INaCa,INaK,IpCa,ICab,INab,ICa,JDHPR,Jup,Jtrpn,Jtr,Jxfer,IKv43,IKv14,IKv14_K,IKv14_Na,Ito2,Istim,Itot
0.074,-8.28496e-14,0.678703,0.486941,0.0283604,0.0897966,0.13996,-0.780668,0.290131,0.0270349,-0.0185856,-0.0615859,-2.37275,7.2984e-05,0.000335751,0.000290733,0.000476953,0.000937228,0.0146048,0.0137556,0.013955,-0.000199368,1.76088,0,0.268221
0.075,-6.45444e-14,0.686235,0.490213,0.0276867,0.0912265,0.136399,-0.804663,0.29003,0.0270777,-0.0186026,-0.0618681,-2.43939,7.50338e-05,0.000336731,0.000270818,0.000470099,0.000904366,0.014088,0.0135987,0.0137982,-0.000199504,1.82249,0,0.24683
0.076,-4.93996e-14,0.693947,0.493655,0.0270252,0.0928782,0.132371,-0.831034,0.289915,0.027122,-0.0186267,-0.0621887,-2.34765,7.22121e-05,0.000337748,0.000250609,0.00046302,0.000874749,0.0135902,0.0134351,0.0136349,-0.000199844,1.84049,0,0.3379
0.077,-3.71971e-14,0.701646,0.49755,0.0264862,0.0940453,0.129581,-0.853623,0.289835,0.0271617,-0.0186314,-0.0624119,-2.30318,7.08442e-05,0.000338665,0.000230319,0.000455634,0.000828278,0.0131774,0.0133088,0.0135086,-0.000199875,1.65748,0,0.185938
0.078,-2.93478e-14,0.70697,0.499857,0.0259522,0.0962793,0.124372,-0.879003,0.289681,0.027194,-0.0186952,-0.0628319,-1.95017,5.99857e-05,0.000339419,0.000211315,0.000448854,0.00079135,0.012808,0.0131442,0.0133452,-0.000201,1.61167,0,0.471278
0.079,-2.3027e-14,0.713312,0.502543,0.0254598,0.0982185,0.119991,-0.90282,0.289549,0.0272253,-0.0187439,-0.063189,-2.19297,6.74542e-05,0.00034015,0.000193938,0.00044249,0.000775724,0.0124589,0.0130009,0.0132028,-0.00020188,1.67428,0,0.272857
0.08,-1.76727e-14,0.720032,0.505505,0.0250192,0.100013,0.116056,-0.926328,0.289429,0.0272567,-0.0187838,-0.0635132,-2.23145,6.86376e-05,0.000340881,0.000178457,0.00043638,0.000752726,0.0121469,0.0128723,0.0130749,-0.000202683,1.60723,0,0.150472
0.081,-1.35736e-14,0.726327,0.508817,0.0247186,0.101006,0.113926,-0.943622,0.289364,0.0272827,-0.0187933,-0.0636901,-2.08228,6.40494e-05,0.000341489,0.00016492,0.000430825,0.000719128,0.0119263,0.0127924,0.0129953,-0.000202961,1.72512,0,0.408175
0.082,-1.06484e-14,0.731601,0.51128,0.0243733,0.10289,0.10998,-0.964462,0.289239,0.0273062,-0.0188451,-0.0640214,-1.97444,6.07324e-05,0.000342043,0.000150676,0.000425162,0.00068827,0.0116977,0.0126756,0.0128796,-0.000203985,1.53955,0,0.314444
0.083,-8.24776e-15,0.737083,0.51367,0.02402,0.105047,0.105613,-0.985936,0.289098,0.0273277,-0.0189098,-0.0643938,-2.03262,6.25219e-05,0.000342557,0.000135732,0.000419115,0.000660517,0.0114691,0.0125509,0.0127561,-0.000205226,1.64401,0,0.344006
